CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-05 22:00:00,101.5000,130.5000,238,562.5000,290.0000,32.0,62.0000,100
2024-07-05 23:00:00,13.0000,17.0000,22,427.0000,101.5000,32.0,62.0000,100
2024-07-06 00:00:00,10.5000,14.0000,18,423.0000,82.5000,32.0,62.0000,100
2024-07-06 01:00:00,11.0000,14.5000,18,421.0000,68.0000,32.0,62.0000,100
2024-07-06 02:00:00,13.0000,17.0000,22,421.5000,61.0000,31.5,62.0000,100
2024-07-06 03:00:00,14.0000,18.5000,23,420.0000,50.0000,31.0,62.0000,100
2024-07-06 04:00:00,17.0000,21.5000,28,425.0000,64.0000,31.0,62.0000,100
2024-07-06 05:00:00,25.5000,30.5000,42,429.5000,98.5000,31.0,62.0000,100
2024-07-06 06:00:00,28.0000,32.5000,47,430.5000,99.0000,31.0,62.5000,100
2024-07-06 07:00:00,20.5000,25.0000,34,438.0000,130.5000,31.0,62.5000,100
2024-07-06 08:00:00,26.5000,31.0000,44,433.5000,111.5000,31.0,63.0000,100
2024-07-06 09:00:00,28.5000,33.5000,48,438.0000,154.5000,31.0,63.0000,100
2024-07-06 10:00:00,54.0000,67.0000,90,435.0000,169.5000,31.0,63.5000,100
2024-07-06 11:00:00,63.5000,79.5000,112,446.0000,209.0000,31.0,64.0000,100
2024-07-06 12:00:00,63.0000,78.5000,110,437.5000,142.5000,31.0,63.0000,100
2024-07-06 13:00:00,48.5000,61.0000,81,413.0000,42.5000,31.5,61.5000,100
2024-07-06 14:00:00,46.0000,57.5000,77,415.0000,71.5000,31.5,63.0000,100
2024-07-06 15:00:00,39.0000,48.0000,65,419.5000,105.5000,32.0,63.0000,100
2024-07-06 16:00:00,35.0000,42.0000,58,425.5000,134.5000,32.0,63.5000,100
2024-07-06 17:00:00,30.0000,35.5000,50,425.5000,121.0000,32.0,62.5000,100
2024-07-06 18:00:00,29.5000,34.5000,49,422.5000,133.0000,32.0,62.0000,100
2024-07-06 19:00:00,19.0000,24.0000,32,418.5000,142.0000,31.0,64.0000,80
2024-07-06 20:00:00,14.0000,17.5000,23,421.0000,168.0000,31.0,63.0000,80
