CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-03 21:30:00,16.0000,21.0000,27,461.0000,447.0000,32.0,58.0000,100
2024-07-03 22:00:00,27.0000,31.0000,45,464.0000,482.0000,32.0,59.0000,100
2024-07-03 22:30:00,36.0000,43.0000,60,465.0000,610.0000,32.0,59.0000,100
2024-07-03 23:00:00,38.0000,45.0000,63,487.0000,714.0000,32.0,59.0000,100
2024-07-03 23:30:00,24.0000,29.0000,40,488.0000,522.0000,32.0,57.0000,100
2024-07-04 00:00:00,16.0000,21.0000,27,470.0000,408.0000,32.0,56.0000,100
2024-07-04 00:30:00,12.0000,16.0000,20,472.0000,359.0000,32.0,55.0000,100
2024-07-04 01:00:00,9.0000,11.0000,15,476.0000,345.0000,32.0,55.0000,100
2024-07-04 01:30:00,8.0000,10.0000,13,490.0000,437.0000,32.0,55.0000,100
2024-07-04 02:00:00,8.0000,10.0000,13,492.0000,442.0000,32.0,55.0000,100
2024-07-04 02:30:00,9.0000,12.0000,15,490.0000,400.0000,32.0,55.0000,100
2024-07-04 03:00:00,11.0000,14.0000,18,471.0000,347.0000,32.0,56.0000,100
2024-07-04 03:30:00,13.0000,16.0000,22,469.0000,323.0000,32.0,56.0000,100
2024-07-04 04:00:00,13.0000,17.0000,22,484.0000,401.0000,32.0,56.0000,100
2024-07-04 04:30:00,18.0000,22.0000,30,463.0000,406.0000,32.0,57.0000,100
2024-07-04 05:00:00,18.0000,23.0000,30,468.0000,412.0000,32.0,57.0000,100
2024-07-04 05:30:00,19.0000,23.0000,32,489.0000,608.0000,32.0,56.0000,100
2024-07-04 06:00:00,22.0000,26.0000,37,493.0000,543.0000,32.0,57.0000,100
2024-07-04 06:30:00,25.0000,29.0000,42,483.0000,472.0000,32.0,59.0000,100
2024-07-04 07:00:00,29.0000,35.0000,48,477.0000,473.0000,32.0,61.0000,100
2024-07-04 07:30:00,32.0000,37.0000,53,474.0000,571.0000,32.0,61.0000,100
2024-07-04 08:00:00,50.0000,58.0000,83,501.0000,788.0000,32.0,62.0000,100
2024-07-04 08:30:00,43.0000,54.0000,72,482.0000,673.0000,32.0,61.0000,100
2024-07-04 09:00:00,31.0000,37.0000,52,556.0000,1135.0000,32.0,60.0000,100
2024-07-04 09:30:00,31.0000,37.0000,52,472.0000,549.0000,32.0,61.0000,100
2024-07-04 10:00:00,24.0000,29.0000,40,434.0000,407.0000,32.0,61.0000,100
2024-07-04 10:30:00,25.0000,30.0000,42,428.0000,356.0000,32.0,62.0000,100
2024-07-04 11:00:00,36.0000,43.0000,60,426.0000,360.0000,32.0,61.0000,100
2024-07-04 11:30:00,44.0000,53.0000,73,424.0000,341.0000,32.0,62.0000,100
2024-07-04 12:00:00,41.0000,51.0000,68,422.0000,336.0000,32.0,61.0000,100
2024-07-04 12:30:00,42.0000,52.0000,70,424.0000,334.0000,32.0,60.0000,100
2024-07-04 13:00:00,47.0000,59.0000,78,425.0000,357.0000,32.0,60.0000,100
2024-07-04 13:30:00,56.0000,71.0000,93,428.0000,435.0000,32.0,62.0000,100
2024-07-04 14:00:00,55.0000,68.0000,92,428.0000,448.0000,32.0,61.0000,100
2024-07-04 14:30:00,50.0000,62.0000,83,426.0000,393.0000,32.0,62.0000,100
2024-07-04 15:00:00,37.0000,45.0000,62,423.0000,399.0000,32.0,62.0000,100
2024-07-04 15:30:00,28.0000,33.0000,47,420.0000,95.0000,32.0,61.0000,100
2024-07-04 16:00:00,24.0000,29.0000,40,416.0000,99.0000,32.0,61.0000,100
2024-07-04 16:30:00,10.0000,13.0000,17,461.0000,123.0000,32.0,60.0000,100
2024-07-04 17:00:00,11.0000,14.0000,18,630.0000,252.0000,32.0,60.0000,100
2024-07-04 17:30:00,12.0000,16.0000,20,580.0000,228.0000,32.0,61.0000,100
2024-07-04 18:00:00,12.0000,15.0000,20,443.0000,151.0000,32.0,60.0000,100
2024-07-04 18:30:00,27.0000,34.0000,45,466.0000,202.0000,32.0,60.0000,100
2024-07-04 19:00:00,14.0000,18.0000,23,444.0000,197.0000,32.0,60.0000,100
2024-07-04 19:30:00,15.0000,20.0000,25,531.0000,291.0000,32.0,63.0000,100
2024-07-04 20:00:00,22.0000,27.0000,37,596.0000,445.0000,32.0,63.0000,100
2024-07-04 20:30:00,21.0000,26.0000,35,594.0000,468.0000,32.0,63.0000,100
2024-07-04 21:00:00,20.0000,25.0000,33,774.0000,661.0000,32.0,63.0000,100
2024-07-04 21:30:00,24.0000,29.0000,40,864.0000,638.0000,33.0,64.0000,100
2024-07-04 22:00:00,23.0000,27.0000,38,756.0000,537.0000,33.0,63.0000,100
2024-07-04 22:30:00,20.0000,25.0000,33,538.0000,391.0000,32.0,61.0000,100
2024-07-04 23:00:00,21.0000,26.0000,35,766.0000,399.0000,32.0,61.0000,100
2024-07-04 23:30:00,22.0000,27.0000,37,511.0000,317.0000,33.0,58.0000,100
2024-07-05 00:00:00,24.0000,28.0000,40,495.0000,297.0000,32.0,58.0000,100
